# I_avg I_var I_errs
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.480000000000000305e-06 1.476745600000000103e-01 2.555436444425535233e-04
4.870000000000000197e-04 4.268519374999999627e+01 1.147609092746929536e-02
2.296320000000000132e-03 3.573690153599999917e+02 5.805691202020268893e-02
7.789020000000000665e-02 2.383094749750000119e+03 1.323645746528042122e-01
1.090901599999999916e-01 1.675079794840000204e+03 8.906395601668404272e-02
1.328335999999999961e-01 1.592202744000000166e+03 9.488561933730904618e-02
1.541657600000000128e-01 1.287838272640000014e+03 7.302866176502431639e-02
1.715532399999999957e-01 1.283909034389999988e+03 7.182969210268448645e-02
1.866521999999999903e-01 1.263638369750000038e+03 7.375939674392352485e-02
1.978854000000000168e-01 1.266564017749999948e+03 7.226500822003069369e-02
2.106835199999999853e-01 1.136703202560000136e+03 6.637202529122286643e-02
2.203967200000000182e-01 1.164911532760000000e+03 6.738213753051368327e-02
2.308999200000000085e-01 1.137095199959999945e+03 6.496677403159495379e-02
2.394417600000000312e-01 1.136084100640000088e+03 6.171846465801464343e-02
2.475833999999999813e-01 1.087062977750000073e+03 5.809567095072924042e-02
2.550970800000000316e-01 1.103204096709999931e+03 6.019727098720624447e-02
