# omega sweeps
1.000000000000000000e+00 1.088000000000000000e+03
1.020000000000000018e+00 1.059000000000000000e+03
1.040000000000000036e+00 1.031000000000000000e+03
1.060000000000000053e+00 1.003000000000000000e+03
1.080000000000000071e+00 9.750000000000000000e+02
1.100000000000000089e+00 9.480000000000000000e+02
1.120000000000000107e+00 9.210000000000000000e+02
1.140000000000000124e+00 8.950000000000000000e+02
1.159999999999999920e+00 8.690000000000000000e+02
1.179999999999999938e+00 8.430000000000000000e+02
1.199999999999999956e+00 8.180000000000000000e+02
1.219999999999999973e+00 7.930000000000000000e+02
1.239999999999999991e+00 7.680000000000000000e+02
1.260000000000000009e+00 7.440000000000000000e+02
1.280000000000000027e+00 7.200000000000000000e+02
1.300000000000000044e+00 6.970000000000000000e+02
1.320000000000000062e+00 6.730000000000000000e+02
1.340000000000000080e+00 6.510000000000000000e+02
1.359999999999999876e+00 6.280000000000000000e+02
1.379999999999999893e+00 6.060000000000000000e+02
1.399999999999999911e+00 5.840000000000000000e+02
1.419999999999999929e+00 5.620000000000000000e+02
1.439999999999999947e+00 5.410000000000000000e+02
1.459999999999999964e+00 5.190000000000000000e+02
1.479999999999999982e+00 4.980000000000000000e+02
1.500000000000000000e+00 4.780000000000000000e+02
1.520000000000000018e+00 4.570000000000000000e+02
1.540000000000000036e+00 4.370000000000000000e+02
1.560000000000000053e+00 4.170000000000000000e+02
1.580000000000000071e+00 3.970000000000000000e+02
1.600000000000000089e+00 3.770000000000000000e+02
1.620000000000000107e+00 3.580000000000000000e+02
1.640000000000000124e+00 3.380000000000000000e+02
1.660000000000000142e+00 3.190000000000000000e+02
1.680000000000000160e+00 3.000000000000000000e+02
1.700000000000000178e+00 2.800000000000000000e+02
1.719999999999999973e+00 2.610000000000000000e+02
1.739999999999999991e+00 2.420000000000000000e+02
1.760000000000000009e+00 2.230000000000000000e+02
1.780000000000000027e+00 2.030000000000000000e+02
1.800000000000000044e+00 1.830000000000000000e+02
1.820000000000000062e+00 1.630000000000000000e+02
1.839999999999999858e+00 1.420000000000000000e+02
1.859999999999999876e+00 1.190000000000000000e+02
1.879999999999999893e+00 9.200000000000000000e+01
1.899999999999999911e+00 9.000000000000000000e+01
1.919999999999999929e+00 1.140000000000000000e+02
1.939999999999999947e+00 1.540000000000000000e+02
1.959999999999999964e+00 2.330000000000000000e+02
1.979999999999999982e+00 4.700000000000000000e+02
